,search time,best params,en_handwritten,hhd,mashtots,emnist
en_handwritten,21.47083830833435,"{'hidden_size': 128, 'num_layers': 3, 'lr': 0.0012950141876025422}",0.0005120327700972862,0.20496022806889144,0.0003376908088507497,0.001508115006920675
hhd,15.097302198410034,"{'hidden_size': 256, 'num_layers': 3, 'lr': 0.000337094227066931}",0.10857745319710499,0.47224722323291973,0.6306836268276692,0.5585850959583462
mashtots,209.13779377937317,"{'hidden_size': 256, 'num_layers': 3, 'lr': 0.00039626050846070155}",0.12804795428293972,0.45354773886245126,0.5731174964152689,0.46937345176381684
emnist,2521.8489139080048,"{'hidden_size': 128, 'num_layers': 2, 'lr': 0.00013548522841725177}",0.0005127727018459817,0.3534961394723666,0.23871203550190187,0.6861734885850422
