,search time,best params,en_handwritten,hhd,mashtots,emnist
en_handwritten,24.46619701385498,"{'conv1_out_channels': 64, 'conv2_out_channels': 128, 'fc1_out_features': 128, 'lr': 0.0010856960607239867}",0.603589875085983,0.7134334862668692,0.7453113010205294,0.7334451618871827
hhd,15.99602222442627,"{'conv1_out_channels': 16, 'conv2_out_channels': 96, 'fc1_out_features': 256, 'lr': 0.0005963104073628422}",0.618102968288819,0.7587790462043323,0.8495953440524766,0.7417531141315249
mashtots,206.86632132530212,"{'conv1_out_channels': 32, 'conv2_out_channels': 96, 'fc1_out_features': 192, 'lr': 0.0008612435216978252}",0.5775661854061628,0.7557388661944514,0.7979769164386461,0.7383679449546398
emnist,2502.5291361808777,"{'conv1_out_channels': 32, 'conv2_out_channels': 64, 'fc1_out_features': 256, 'lr': 0.0002120327148454758}",0.4621734099921696,0.7461437566116523,0.8055353026213581,0.7475840762582151
