,search time,best params,en_handwritten,hhd,mashtots,emnist
en_handwritten,20.771344661712646,"{'hidden1': 192, 'hidden2': 64, 'lr': 0.00021311560449664842}",0.016075749577811153,0.5412609842987312,0.5389380945731477,0.7067626012513354
hhd,18.333367586135864,"{'hidden1': 128, 'hidden2': 128, 'lr': 0.0009000792610109841}",0.0005120327700972862,0.5987527706186346,0.6807799933849541,0.6678306309835733
mashtots,157.84997582435608,"{'hidden1': 192, 'hidden2': 64, 'lr': 0.0017704020805104433}",0.0005120327700972862,0.5590239426409996,0.6569452285401238,0.5980151312700354
emnist,1917.3778059482574,"{'hidden1': 192, 'hidden2': 96, 'lr': 0.0002327628019429314}",0.013661095558993934,0.5286172501199099,0.5838847290254859,0.7111568942155025
